id,ageRating,countries,genres,name,updatedAt,year,sequelsAndPrequels,createdAt,networks,audience,totalSeriesLength,rating_kp,rating_imdb,rating_tmdb,rating_filmCritics,rating_russianFilmCritics,rating_await,fees_world_value,fees_world_currency,fees_russia_value,fees_russia_currency,fees_usa_value,fees_usa_currency,budget_value,budget_currency,votes_kp,votes_imdb,votes_tmdb,votes_filmCritics,votes_russianFilmCritics,votes_await,genres_str,genre_count,countries_str,audience_total,has_sequel
11301960,6.0,[{'name': 'Россия'}],"[{'name': 'фэнтези'}, {'name': 'приключения'}]","Веснушка, Кипятоша и тайна волшебной звезды",2026-03-01T12:20:00.887Z,2025,"[{'id': 5902054, 'name': 'Веснушка, Кипятоша и Волшебный фонарь', 'alternativeName': 'Веснушка, Кипятоша и Волшебный фонарь', 'type': 'movie', 'relationType': 'BEFORE', 'poster': {'url': 'https://avatars.mds.yandex.net/get-kinopoisk-image/10812607/8f3f8ff7-9ba1-4dc6-af7c-890669d3d7f6/600x900', 'previewUrl': 'https://avatars.mds.yandex.net/get-kinopoisk-image/10812607/8f3f8ff7-9ba1-4dc6-af7c-890669d3d7f6/300x450'}, 'year': 2023}, {'id': 8850665, 'name': 'Веснушка, Кипятоша и Железная Королева', 'alternativeName': 'Веснушка, Кипятоша и Железная Королева', 'type': 'movie', 'relationType': 'BEFORE', 'poster': {'url': 'https://avatars.mds.yandex.net/get-kinopoisk-image/10953618/141b4ec7-48c5-4d40-a2c3-6cbe1135be44/600x900', 'previewUrl': 'https://avatars.mds.yandex.net/get-kinopoisk-image/10953618/141b4ec7-48c5-4d40-a2c3-6cbe1135be44/300x450'}, 'year': 2025}]",,,,,8.506,0.0,0.0,0.0,0.0,0,0.0,,,,,,,,1000,0,0.0,0,0,0,"фэнтези, приключения",2,Россия,0,True
1357737,,[{'name': 'США'}],"[{'name': 'короткометражка'}, {'name': 'музыка'}]",,2026-02-12T12:56:03.633Z,2020,,2023-07-25T12:15:42.724Z,,,,6.407,7.0,,0.0,0.0,0,0.0,,,,,,,,99,63,,0,0,0,"короткометражка, музыка",2,США,0,False
1355290,18.0,[{'name': 'США'}],[{'name': 'ужасы'}],Глубокое синее море 3,2026-02-26T17:17:08.889Z,2020,"[{'id': 9528, 'name': 'Глубокое синее море', 'alternativeName': 'Deep Blue Sea', 'type': 'movie', 'relationType': 'BEFORE', 'poster': {'url': 'https://avatars.mds.yandex.net/get-kinopoisk-image/4303601/8edbe540-96fb-431a-a77a-7965216d6d8e/600x900', 'previewUrl': 'https://avatars.mds.yandex.net/get-kinopoisk-image/4303601/8edbe540-96fb-431a-a77a-7965216d6d8e/300x450'}, 'year': 1999}, {'id': 1046737, 'name': 'Глубокое синее море 2', 'alternativeName': 'Deep Blue Sea 2', 'type': 'movie', 'relationType': 'BEFORE', 'poster': {'url': 'https://avatars.mds.yandex.net/get-kinopoisk-image/1599028/29fb396b-9491-4994-9d1c-ac9b001172cc/600x900', 'previewUrl': 'https://avatars.mds.yandex.net/get-kinopoisk-image/1599028/29fb396b-9491-4994-9d1c-ac9b001172cc/300x450'}, 'year': 2018}]",2023-07-11T19:16:25.822Z,,,,4.692,4.7,,6.0,0.0,0,0.0,,,,,,5000000.0,$,27098,8000,,14,0,0,ужасы,1,США,0,True
1355180,,[{'name': 'США'}],"[{'name': 'мюзикл'}, {'name': 'фантастика'}, {'name': 'музыка'}]",,2026-02-21T17:05:05.307Z,2020,,2023-07-25T10:36:53.897Z,,,,6.18,6.9,,0.0,0.0,0,0.0,,,,,,,,135,233,,0,0,0,"мюзикл, фантастика, музыка",3,США,0,False
1354413,,[{'name': 'США'}],"[{'name': 'короткометражка'}, {'name': 'музыка'}]",,2026-02-21T17:05:05.436Z,2020,,2023-07-26T07:14:41.940Z,,,,7.169,7.1,,0.0,0.0,0,0.0,,,,,,,,147,406,,0,0,0,"короткометражка, музыка",2,США,0,False
1350237,,[{'name': 'США'}],"[{'name': 'короткометражка'}, {'name': 'фантастика'}, {'name': 'драма'}]",,2026-02-12T12:50:06.504Z,2006,,2023-08-11T17:46:41.086Z,,,,7.109,0.0,,0.0,0.0,0,0.0,,,,,,,,91,0,,0,0,0,"короткометражка, фантастика, драма",3,США,0,False
1347304,18.0,[{'name': 'США'}],[{'name': 'документальный'}],Vice: Как мы будем работать в будущем,2026-02-18T18:35:44.950Z,2019,,2023-07-11T19:12:08.056Z,,,,7.046,0.0,,0.0,0.0,0,0.0,,,,,,,,1633,0,,0,0,0,документальный,1,США,0,False
1346904,,[{'name': 'Россия'}],"[{'name': 'короткометражка'}, {'name': 'комедия'}, {'name': 'музыка'}]",Поперечный — Поп Культура,2026-02-12T12:48:31.910Z,2016,,2023-07-27T14:24:52.482Z,,,,8.201,0.0,,0.0,0.0,0,0.0,,,,,,,,397,0,,0,0,0,"короткометражка, комедия, музыка",3,Россия,0,False
1346860,16.0,[{'name': 'США'}],"[{'name': 'мелодрама'}, {'name': 'комедия'}]",Американский пирог представляет: Правила для девочек,2026-03-01T12:20:01.541Z,2020,"[{'id': 5129, 'name': 'Американский пирог', 'alternativeName': 'American Pie', 'type': 'movie', 'relationType': 'BEFORE', 'poster': {'url': 'https://avatars.mds.yandex.net/get-kinopoisk-image/1599028/aabecc3a-346d-4964-8171-e22f97f858ca/600x900', 'previewUrl': 'https://avatars.mds.yandex.net/get-kinopoisk-image/1599028/aabecc3a-346d-4964-8171-e22f97f858ca/300x450'}, 'year': 1999}, {'id': 587, 'name': 'Американский пирог 2', 'alternativeName': 'American Pie 2', 'type': 'movie', 'relationType': 'BEFORE', 'poster': {'url': 'https://avatars.mds.yandex.net/get-kinopoisk-image/1599028/bed1ea39-ae9f-4dda-a36e-a3d7fedaaab3/600x900', 'previewUrl': 'https://avatars.mds.yandex.net/get-kinopoisk-image/1599028/bed1ea39-ae9f-4dda-a36e-a3d7fedaaab3/300x450'}, 'year': 2001}, {'id': 4300, 'name': 'Американский пирог 3: Свадьба', 'alternativeName': 'American Wedding', 'type': 'movie', 'relationType': 'BEFORE', 'poster': {'url': 'https://avatars.mds.yandex.net/get-kinopoisk-image/1629390/957b135d-4b33-48b0-963b-14b4269c84e0/600x900', 'previewUrl': 'https://avatars.mds.yandex.net/get-kinopoisk-image/1629390/957b135d-4b33-48b0-963b-14b4269c84e0/300x450'}, 'year': 2003}, {'id': 87387, 'name': 'Американский пирог: Музыкальный лагерь', 'alternativeName': 'American Pie Presents Band Camp', 'type': 'movie', 'relationType': 'BEFORE', 'poster': {'url': 'https://avatars.mds.yandex.net/get-kinopoisk-image/1704946/406d7fba-b973-4ecd-bafd-94ab234a78e4/600x900', 'previewUrl': 'https://avatars.mds.yandex.net/get-kinopoisk-image/1704946/406d7fba-b973-4ecd-bafd-94ab234a78e4/300x450'}, 'year': 2005}, {'id': 258454, 'name': 'Американский пирог: Голая миля', 'alternativeName': 'The Naked Mile', 'type': 'movie', 'relationType': 'BEFORE', 'poster': {'url': 'https://avatars.mds.yandex.net/get-kinopoisk-image/1600647/5327d6dd-8580-4f41-9351-27ee4b5fa457/600x900', 'previewUrl': 'https://avatars.mds.yandex.net/get-kinopoisk-image/1600647/5327d6dd-8580-4f41-9351-27ee4b5fa457/300x450'}, 'year': 2006}, {'id': 295060, 'name': 'Американский пирог: Переполох в общаге', 'alternativeName': 'American Pie Presents: Beta House', 'type': 'movie', 'relationType': 'BEFORE', 'poster': {'url': 'https://avatars.mds.yandex.net/get-kinopoisk-image/1599028/c16429f4-f7e8-4ee2-bcd9-ba2f96707ab3/600x900', 'previewUrl': 'https://avatars.mds.yandex.net/get-kinopoisk-image/1599028/c16429f4-f7e8-4ee2-bcd9-ba2f96707ab3/300x450'}, 'year': 2007}, {'id': 453598, 'name': 'Американский пирог: Книга любви', 'alternativeName': 'American Pie Presents: The Book of Love', 'type': 'movie', 'relationType': 'BEFORE', 'poster': {'url': 'https://avatars.mds.yandex.net/get-kinopoisk-image/1599028/6ac386db-9508-4dea-861e-968af67ef64c/600x900', 'previewUrl': 'https://avatars.mds.yandex.net/get-kinopoisk-image/1599028/6ac386db-9508-4dea-861e-968af67ef64c/300x450'}, 'year': 2009}, {'id': 506251, 'name': 'Американский пирог: Все в сборе', 'alternativeName': 'American Reunion', 'type': 'movie', 'relationType': 'BEFORE', 'poster': {'url': 'https://avatars.mds.yandex.net/get-kinopoisk-image/1773646/861fc1ee-6e98-4614-a79e-537c6e8b3a70/600x900', 'previewUrl': 'https://avatars.mds.yandex.net/get-kinopoisk-image/1773646/861fc1ee-6e98-4614-a79e-537c6e8b3a70/300x450'}, 'year': 2012}]",2023-07-11T19:04:49.257Z,,,,4.75,3.9,6.147,4.9,0.0,0,0.0,,,,,,,,16961,13000,690.0,9,0,0,"мелодрама, комедия",2,США,0,True
1346686,18.0,"[{'name': 'США'}, {'name': 'Великобритания'}]","[{'name': 'документальный'}, {'name': 'биография'}, {'name': 'комедия'}]",Друзья: Воссоединение,2026-02-26T23:21:39.653Z,2021,"[{'id': 77044, 'name': 'Друзья', 'alternativeName': 'Friends', 'type': 'tv-series', 'relationType': 'BEFORE', 'poster': {'url': 'https://avatars.mds.yandex.net/get-kinopoisk-image/4486454/bae692d9-8260-46a4-9188-8509a72aa005/600x900', 'previewUrl': 'https://avatars.mds.yandex.net/get-kinopoisk-image/4486454/bae692d9-8260-46a4-9188-8509a72aa005/300x450'}, 'year': 1994}, {'id': 1388431, 'alternativeName': ""Friends: The Stuff You've Never Seen"", 'type': 'movie', 'relationType': 'BEFORE', 'year': 2001}, {'id': 982493, 'name': 'Друзья: Ещё один эпизод перед последним – Десять лет Друзей', 'alternativeName': 'Friends: The One Before the Last One - Ten Years of Friends', 'type': 'movie', 'relationType': 'BEFORE', 'poster': {'url': 'https://avatars.mds.yandex.net/get-kinopoisk-image/1946459/38bc17a1-e639-4391-906a-a769accb24fe/600x900', 'previewUrl': 'https://avatars.mds.yandex.net/get-kinopoisk-image/1946459/38bc17a1-e639-4391-906a-a769accb24fe/300x450'}, 'year': 2004}]",2023-07-11T19:02:33.678Z,{'items': [{'name': 'Max'}]},,,8.458,8.0,7.852,6.3,62.5,0,0.0,,,,,,,,74506,68000,1290.0,58,16,0,"документальный, биография, комедия",3,"США, Великобритания",0,True
